개인용 푸드 컴퓨터,Personal Food Computer,PFC,,"컴퓨터 프로그램으로 식물 재배에 필요한 각종 센서와 액추에이터 등을 자동 조절하는 데스크톱 컴퓨터 크기의 시스템.
식물 재배용 체임버, 식물 성장 환경(이산화탄소, 온도, 습도, 전기 전도도 등)을 관리하는 모니터, 로봇 제어 시스템으로 구성된다. 작물 자료를 수집, 분석하고, 환경 제어 등을 위해 인공 지능(AI) 기술이 활용된다.
2015년 테드(TED) 강연에서 MIT 대학의 칼렙 하퍼(Caleb Harper) 교수가 PFC 개념을 처음 소개하였다. PFC의 식물 재배 프로그램은 공개 소스로 제작되어 공개된다. 식물 재배 방법이나 재배 조건 등이 프로그램되어 있어, 공간, 기후, 토양 등의 제약 없이 키울 수 있다."
농업정보기술,AgTech,,아그로테크(Agrotech),"첨단 정보통신기술(ICT)을 접목한 농업 기술.
농업(Agriculture)과 디지털 기술(Digital Technology)의 합성어이다. 발광 다이오드(LED), 마이크로센서, 빅데이터 처리, 사물 인터넷(IoT), 인공지능(AI) 등 ICT 기술을 사용하여 기후 변화, 농경지 감소, 물 부족 등 환경 부담을 최소화하면서, 농사 비용을 줄이고 품질과 농작물 생산량을 극대화할 수 있다.
대표적인 예로, 이스라엘의 프로스페라(Prospera)사는 인공위성, 무인항공기, 토양 센서 및 날씨 데이터를 활용하여, 수확량 예측, 농작물 질병 등 정보를 제공해준다. 미국 플랜티(Plenty)사는 AI와 IoT 등 기술을 활용하여 건물 안에서 농작물을 수경 재배하는 아파트형 수직 농장(Vertical farming)을 개발하였다. 브라질 아그로스마트(AgroSmart)사는 습기, 토양 온도, 풍향, 일조량 등 농작물 재배에 필요한 요소를 측정 후 종합 분석하여 관개에 가장 적합한 시간을 알려줌으로써, 효과적으로 농작물을 관리할 수 있는 서비스를 제공한다."
서버 이름 표시,Server Name Indication,SNI,,"컴퓨터 네트워크 전송 계층 보안(TLS) 기반의 웹상에서 클라이언트가 웹 서버에 접속을 시작할 때 접속할 호스트명 정보를 같이 보내는 기능.
한 컴퓨터(즉, 한 개의 IP와 포트)에서 다수의 가상 웹 서버를 운용할 수 있도록 국제 인터넷 표준화 기구인 IETF(Internet Engineering Task Force)에서 만든 TLS 확장 표준이다. 2003년 6월 IETF RFC 3546 Transport Layer Security (TLS) Extension이라는 제목으로 처음 제정되었다. 해당 표준의 최신 버전은 RFC 6066(2011)이다.
기존 TLS 표준을 사용하는 HTTPS 웹 서버에서는, 하나의 IP 주소와 고정된 443 포트로 두 개 이상의 서버를 공유하기 어렵다. 그리고 IP 주소 하나에 인증서가 통합 발급되어 인증서 내 호스트명 같은 세부 정보를 수정하는 경우 다시 인증서를 재발급 받아야 하는 문제가 있다. 예를 들어, https://10.11.12.13 주소에서 이름이 다른 두 개의 웹사이트 https://shopping1.com과 https://shopping2.com을 운영할 수 없고, 각각의 웹사이트가 아닌 https://10.11.12.13 주소 하나에 인증서가 발급된다. 이와 같은 문제를 개선하기 위해 기존 TLS 표준에 확장 기능으로 SNI가 추가되었다. SNI는 TLS 핸드셰이킹 과정 초기에 클라이언트가 접속할 호스트 정보를 서버에 알려주기 때문에 동일한 IP 주소로 여러 HTTPS 웹사이트 또는 TLS상에서 돌아가는 다른 웹서비스를 운영할 수 있다. 또한 각 웹서비스별로 인증서를 발급받아 사용할 수 있어 통합 인증서 문제가 해결될 수 있다. 그러나 클라이언트와 서버 간의 보안 접속이 설정되기 전에, 즉 초기 핸드셰이킹 과정에서 암호화되지 않은 호스트명 정보가 전달되어 사용자가 어느 사이트에 접속을 요청하는지 감청될 수 있다는 문제점이 있다.
SNI를 사용하기 위해서는 서버뿐만 아니라 클라이언트인 브라우저에서도 본 SNI 기능을 지원해야 한다. 구글 크롬, MS 인터넷 익스플로러와 에지, 애플 사파리, 모질라 파이어폭스 등 대부분 브라우저가 SNI 기능을 지원하고 있다.

※ 전송 계층 보안(TLS: Transport Layer Security): 컴퓨터 네트워크상에서 데이터의 도청이나 변조를 막기 위해 사용되는 프로토콜."
이웃 영역 통신망,Neighborhood Area Network,NAN,,"사용자 이웃 지역에서 정보교환이 이루어질 수 있도록 구축한 통신망.
가정이나 회사의 종단 무선 구간에 설치된 스마트 검침기와 기기의 정보를 수집하는 게이트웨이 장치 간의 스마트 그리드 서비스를 위한 미국 전기전자학회(IEEE)의 스마트 유틸리티 네트워크 표준(IEEE 802.15.4g)을 토대로 한다"
비승인 정보기술,Shadow Information Technology,Shadow IT,"스텔스 IT(Stealth IT), 클라이언트 IT(Client IT), 사각지대 정보기술","기업이나 조직이 업무용으로 승인하지 않은 정보기술(IT) 제품과 서비스를 직원이 사용하는 것을 파악하지 못하는 현상. 업무에 필요한 IT 제품이나 서비스를 알맞은 때에 바로 사용할 수 있어 업무 성과를 높일 수 있는 장점도 있다. 그러나 조직용으로 구입하거나 허가한 IT 기기, 소프트웨어, 클라우드 스토리지 서비스 등이 아닌, 개인적으로 취득한 제품이나 서비스를 업무에 사용하여 기업의 보안 위협 요인이 된다."
구조화된 사이버 위협 정보 표현,Structured Threat Information eXpression,STIX,스틱스,"사이버 위협 정보를 구조화하는 표현 규격.
조직별로 수집하여 보유한 비표준 형태의 사이버 위협 정보(CTI: Cyber Threat Intelligence)를 누구나 분석, 해석하여 활용할 수 있도록 체계화된 구조로 표준화한 것으로, 사이버 보안 위협 시 신속하고 효율적으로 대응할 수 있도록 한다. 주로 정보공유분석센터(ISAC)와 침해사고대응팀(CERT)과 같은 사이버 테러나 정보 침해 등에 공동으로 대응하는 정보보호 기관에서 사용한다. STIX는 소스 코드가 공개되며 누구나 자유롭게 사용할 수 있다.
 미국 국토안보부(DHS)는 사이버 위협에 효율적이고 안전하게 대응하기 위하여 정부연구기관 마이터(MITRE)와 STIX 표준 1.0 버전을 발표하였다. 사이버 위협 정보(CTI)를 8가지 구성 요소*로 구조화하였으며, 각 구성 요소의 세부 속성은 XML로 표현된다.
* 8가지 구성 요소: Observable, Indicator, Incident, TTP(Tactics, Techniques and Procedure), ThreatActor, Campaign, ExploitTarget, CoA(Course of Action)
 그 후 STIX는 오아시스(OASIS) 표준화 단체로 이관되었으며, 2017년 9월에 공식 버전 2.0을 발표하였다.  STIX 2.0 객체는 도메인 객체(SDO: STIX Domain Objects) 12개와 관계 객체(SRO: STIX Relationship Objects) 2개로 구성되며, 제이슨(JSON)으로 표현한다.
 SDO의 구성 요소로 공격 패턴(Attack Pattern: 공격의 전략, 기법, 절차), 캠페인(Campaign: 공격 행위 그룹), 조치(Course of Action: 공격 예방 및 대응 조치), 식별(Identity: 개인, 조직, 그룹의 표현), 위협 지표(Indicator: 위협 행위 검출 지표), 침입 세트(Intrusion Set: 위협 행위와 자원의 집합), 악성코드(Malware: 악성 소프트웨어), 관찰 데이터(Observed Data: 관찰된 위협 정보), 기록(Report: 상세 위협 정보의 집합), 위협 행위자(Threat Actor: 위협 행위의 주체(개인, 조직, 그룹)), 도구(Tool: 위협 행위 수단), 취약성(Vulnerability: 소프트웨어 취약성) 등이 있다. 
SRO 구성 요소로는 관계(Relationship: 두 SDO 간의 연결성 설명), 위협 관측(Sighting:　사이버 위협 정보에 대한 SDO 관측 정보 알림)이 있다."
고 프로그래밍 언어,Go programming language,,"고랭(Golang), 고언어","멀티코어 지원, 프로그램 생산성 향상을 목적으로 구글(Google)에서 개발한 범용 프로그래밍 언어
정적 타입 언어(static type language)로 설계하여 실행시간 효율성을 높이고, 시스템 및 메모리 최적화, 프로세스 병행 처리 등을 제공하여 효율성이 좋고, 초보자도 배우기 쉽도록 프로그래밍 문법을 단순하게 하였다. 공개 소스이다.

2007년 9월 21일에 로버트 그리즈머(Robert Griesemer), 롭 파이크(Rob Pike), 켄 톰슨(Ken Thompson)이 분산 운영체제와 관련 작업을 하다가 C++언어의 복잡성을 해결하기 위해 고안하였다.
Go 언어는 컴파일 언어이지만 문법 구조 개선으로 인터프리터 언어와 같은 컴파일 속도를 지원한다. 단순함과 실용성을 지향하여 필수 키워드가 25개밖에 되지 않고 문법이 간결해 상대적으로 접근하기 쉽다. 또한 라이브러리가 풍부하여 다양한 기능을 빠르게 구현할 수 있다. 또한 비동기 방식의 고루틴(goroutine)이 제공되어 프로그램들이 서로 상태 공유와 같은 기능을 수월하게 병행 처리할 수 있게 되었다. 고루틴은 복수 스레드를 동시에 처리하는 멀티스레드 메커니즘이지만 자체적인 스케줄러에 의해 관리되는 경량 스레드로 운영체제(OS)의 경량 스레드보다 더 경량이다. 따라서 CPU 코어 수와 무관하게 수백, 수천만 고루틴을 만들어도 성능에 문제가 생기지 않는다.
구글(Google), 넷플리스(Netflix), 사운드클라우드(SoundCloud), 스페이스엑스(SpaceX), 이더리움 등 여러 분야에서 활발하게 Go 언어가 활용된다."
러스트 프로그래밍 언어,Rust programming language,,,"안전성, 속도, 병행성에 초점을 맞추어 모질라(Mozilla)에서 개발한 범용 시스템 프로그래밍 언어.
C나 C++, Go 언어와 같은 시스템 프로그래밍 언어에 속하며, 쓰레기 수집(garbage collection) 없이 안정적인 메모리 해제 기능을 지원한다. 또한 병행(concurrent) 프로그래밍 제공과 멀티 코어(multi-core) 프로세싱을 지원할 수 있는 병렬 처리 프로그래밍 제공이 강점이다. 공개 소스이다.
2006년에 모질라 개발자인 그레이던 호어(Graydon Hoare)의 개인 프로젝트로 시작되어, 2009년에 모질라의 차기 웹 브라우저 엔진 프로젝트인 서보(Servo) 개발을 위한 목적의 프로젝트로 전환되었다. 러스트는 C/C++와 동등한 수준의 속도를 달성하면서 메모리 오류를 완전히 없애는 것을 목표로 한다. 즉, C++로 개발 시 프로그래머가 메모리 관리 오류(예: 널 포인터, 댕글링 포인터, 데이터 레이스 등)를 야기하기 쉬워, 러스트는 C++에서와 같은 메모리 오류 발생을 줄이는 데 중점을 두었고, 컴파일 시점에 메모리 오류를 가능한 찾아내어 해결할 수 있도록 만들어졌다.
또한 함수형 프로그래밍 언어에서 발전된 타입 시스템(type system)을 도입하였으며, 클래스(class) 대신 트레이트(Trait)라는 새로운 방법을 사용하여 다형성을 지원한다. C/C++에서의 매크로가 단순한 문자열 치환으로 전처리기를 통해서 처리하는 반면, 러스트의 매크로는 문법의 일부로 컴파일러에서 처리하여 언어 확장 및 쉬운 모듈화를 지원한다. 모듈들은 크레이트(Crate)라고 하는 단위로 묶여서 실행 파일이나 라이브러리로 배포될 수 있다. 카고(Cargo)라는 패키지 관리 프로그램을 통해 빌드 및 패키지 배포를 자동화한다. 사용자는 필요한 라이브러리를 카고를 통해 자동으로 다운로드할 수 있다.
모질라는 러스트 1.0 버전을 2015년 5월에 공식적으로 공개하였고 그 후 지속적으로 개선된 버전을 공개하여 2016년 12월 러스트 1.14, 그리고 2019년 1월에 가장 최신 버전인 1.32.0을 공개하였다. 마이크로소프트 윈도우(Microsoft Windows), 리눅스(Linux), 맥OS(Mac OS X), 안드로이드 등 운영 체제에서 Rust를 지원한다.
"
링크드 데이터,linked data,,연결 데이터,"데이터를 웹상에 게시할 때 해당 데이터의 의미를 더 유용하게 찾아볼 수 있도록 인터넷 식별자와 그 연관 정보 링크를 함께 제공하는 구조화된 기술 방법 또는 데이터 세트.
링크드 데이터는 웹상의 데이터를 식별하기 위한 식별자(URI)를 부여하고 데이터와 연관된 또 다른 정보들을 링크 기반으로 제공하여 시맨틱 웹을 구현할 수 있도록 한다. 해당 데이터에 대한 의미를 파악할 수 있는 링크 정보까지 함께 제공하여 인간 뿐 만 아니라 컴퓨터도 해당 데이터의 의미를 파악할 수 있게 되므로 더 정확한 검색이 가능하고 연계된 정보까지 함께 구조적으로 제공할 수 있게 되는 장점이 있다.
링크드 데이터는 2006년 웹의 창시자인 팀 버너스리에 의해 정리 되었으며 팀 버너스리는 연계 데이터를 적절히 활용하기 위한 아래 4가지의 기본 룰을 정의 하였다.
1. 데이터를 식별하기 위한 방법으로 URI 를 사용하라2. 다른 데이터들과 적절히 참조될 수 있도록 HTTP 를 사용하라3. RDF(Resource Description Framework) 혹은 SPARQL(SPARQL Protocol and RDF Query Langguage)을 활용하여 데이터가 서로 연계되도록 하라4. 더 많은 정보를 제공할 수 있도록 다른 URI 도 포함하라."
개방형 링크드 데이터,Linked Open Data,LOD,링크드 오픈 데이터,"웹에서 누구나 사용할 수 있도록 무료로 공개되는 연계 데이터.
연계 데이터(Linked data)와 오픈 데이터(Open data)가 결합된 단어로, 웹에 게시되는 데이터에 식별자(URI)를 부여하고 관련 정보를 구조적으로 제공하는 연계 데이터를 저작권 없이 무료로 제공하여 사용자가 정보를 다양하고 효율적으로 활용할 수 있도록 한다.
하이퍼텍스트 전송 규약(HTTP), 자원 기술 프레임워크(RDF: Resource Description Framework)와 인터넷 식별자(URI: Uniform Resource Identifier) 등의 웹 표준 기술을 이용하여 시맨틱 웹을 구축하고, 출처가 서로 다르지만 인터넷 식별자(URI)를 통해 데이터를 서로 연결한다. 데이터를 재사용할 수 있고, 데이터 중복을 줄일 수 있는 장점이 있다. 국립중앙도서관, 서울시, 한국관광공사, 특허청 등에서 LOD 활용 서비스를 하고 있다."
